"Survived","Pclass","Sex","Age","SibSp","Parch"
"446","S","1","male","menor","solo","con_padres"
"447","S","2","female","menor","solo","con_padres"
"448","S","1","male","adulto","solo","sin_padres"
"449","S","3","female","menor","pocos_hermanos","con_padres"
"450","S","1","male","adulto_mayor","solo","sin_padres"
"451","M","2","male","adulto","pareja","con_padres"
"452","M","3","male","joven","pareja","sin_padres"
"453","M","1","male","adulto","solo","sin_padres"
"454","S","1","male","adulto_mayor","pareja","sin_padres"
"455","M","3","male","joven","solo","sin_padres"
"456","S","3","male","adulto","solo","sin_padres"
"457","M","1","male","adulto_mayor","solo","sin_padres"
"458","S","1","female","adulto","pareja","sin_padres"
"459","S","2","female","adulto_mayor","solo","sin_padres"
"460","M","3","male","joven","solo","sin_padres"
"461","S","1","male","adulto_mayor","solo","sin_padres"
"462","M","3","male","adulto","solo","sin_padres"
"463","M","1","male","adulto_mayor","solo","sin_padres"
"464","M","2","male","adulto_mayor","solo","sin_padres"
"465","M","3","male","joven","solo","sin_padres"
"466","M","3","male","adulto","solo","sin_padres"
"467","M","2","male","adulto","solo","sin_padres"
"468","M","1","male","adulto_mayor","solo","sin_padres"
"469","M","3","male","joven","solo","sin_padres"
"470","S","3","female","menor","pocos_hermanos","con_padres"
"471","M","3","male","joven","solo","sin_padres"
"472","M","3","male","adulto","solo","sin_padres"
"473","S","2","female","adulto","pareja","con_padres"
"474","S","2","female","joven","solo","sin_padres"
"475","M","3","female","joven","solo","sin_padres"
"476","M","1","male","adulto_mayor","solo","sin_padres"
"477","M","2","male","adulto","pareja","sin_padres"
"478","M","3","male","adulto","pareja","sin_padres"
"479","M","3","male","joven","solo","sin_padres"
"480","S","3","female","menor","solo","con_padres"
"481","M","3","male","menor","muchos_hermanos","con_padres"
"482","M","2","male","adulto","solo","sin_padres"
"483","M","3","male","adulto_mayor","solo","sin_padres"
"484","S","3","female","adulto_mayor","solo","sin_padres"
"485","S","1","male","joven","pareja","sin_padres"
"486","M","3","female","menor","pocos_hermanos","con_padres"
"487","S","1","female","adulto","pareja","sin_padres"
"488","M","1","male","adulto_mayor","solo","sin_padres"
"489","M","3","male","adulto","solo","sin_padres"
"490","S","3","male","menor","pareja","con_padres"
"491","M","3","male","joven","pareja","sin_padres"
"492","M","3","male","joven","solo","sin_padres"
"493","M","1","male","adulto_mayor","solo","sin_padres"
"494","M","1","male","adulto_mayor","solo","sin_padres"
"495","M","3","male","joven","solo","sin_padres"
"496","M","3","male","joven","solo","sin_padres"
"497","S","1","female","adulto_mayor","pareja","sin_padres"
"498","M","3","male","joven","solo","sin_padres"
"499","M","1","female","joven","pareja","con_padres"
"500","M","3","male","joven","solo","sin_padres"
"501","M","3","male","joven","solo","sin_padres"
"502","M","3","female","joven","solo","sin_padres"
"503","M","3","female","joven","solo","sin_padres"
"504","M","3","female","adulto","solo","sin_padres"
"505","S","1","female","joven","solo","sin_padres"
"506","M","1","male","joven","pareja","sin_padres"
"507","S","2","female","adulto","solo","con_padres"
"508","S","1","male","adulto","solo","sin_padres"
"509","M","3","male","joven","solo","sin_padres"
"510","S","3","male","joven","solo","sin_padres"
"511","S","3","male","adulto","solo","sin_padres"
"512","M","3","male","joven","solo","sin_padres"
"513","S","1","male","adulto","solo","sin_padres"
"514","S","1","female","adulto_mayor","pareja","sin_padres"
"515","M","3","male","joven","solo","sin_padres"
"516","M","1","male","adulto_mayor","solo","sin_padres"
"517","S","2","female","adulto","solo","sin_padres"
"518","M","3","male","joven","solo","sin_padres"
"519","S","2","female","adulto","pareja","sin_padres"
"520","M","3","male","adulto","solo","sin_padres"
"521","S","1","female","adulto","solo","sin_padres"
"522","M","3","male","joven","solo","sin_padres"
"523","M","3","male","joven","solo","sin_padres"
"524","S","1","female","adulto","solo","con_padres"
"525","M","3","male","joven","solo","sin_padres"
"526","M","3","male","adulto","solo","sin_padres"
"527","S","2","female","adulto_mayor","solo","sin_padres"
"528","M","1","male","adulto_mayor","solo","sin_padres"
"529","M","3","male","adulto","solo","sin_padres"
"530","M","2","male","joven","pocos_hermanos","con_padres"
"531","S","2","female","menor","pareja","con_padres"
"532","M","3","male","joven","solo","sin_padres"
"533","M","3","male","joven","pareja","con_padres"
"534","S","3","female","menor","solo","con_padres"
"535","M","3","female","adulto","solo","sin_padres"
"536","S","2","female","menor","solo","con_padres"
"537","M","1","male","adulto_mayor","solo","sin_padres"
"538","S","1","female","adulto","solo","sin_padres"
"539","M","3","male","joven","solo","sin_padres"
"540","S","1","female","joven","solo","con_padres"
"541","S","1","female","adulto","solo","con_padres"
"542","M","3","female","menor","muchos_hermanos","con_padres"
"543","M","3","female","menor","muchos_hermanos","con_padres"
"544","S","2","male","adulto","pareja","sin_padres"
"545","M","1","male","adulto_mayor","pareja","sin_padres"
"546","M","1","male","adulto_mayor","solo","sin_padres"
"547","S","2","female","joven","pareja","sin_padres"
"548","S","2","male","adulto","solo","sin_padres"
"549","M","3","male","adulto","pareja","con_padres"
"550","S","2","male","menor","pareja","con_padres"
"551","S","1","male","joven","solo","con_padres"
"552","M","2","male","joven","solo","sin_padres"
"553","M","3","male","joven","solo","sin_padres"
"554","S","3","male","joven","solo","sin_padres"
"555","S","3","female","joven","solo","sin_padres"
"556","M","1","male","adulto_mayor","solo","sin_padres"
"557","S","1","female","adulto_mayor","pareja","sin_padres"
"558","M","1","male","adulto_mayor","solo","sin_padres"
"559","S","1","female","adulto","pareja","con_padres"
"560","S","3","female","adulto","pareja","sin_padres"
"561","M","3","male","joven","solo","sin_padres"
"562","M","3","male","adulto","solo","sin_padres"
"563","M","2","male","joven","solo","sin_padres"
"564","M","3","male","joven","solo","sin_padres"
"565","M","3","female","joven","solo","sin_padres"
"566","M","3","male","joven","pocos_hermanos","sin_padres"
"567","M","3","male","joven","solo","sin_padres"
"568","M","3","female","adulto","solo","con_hijos"
"569","M","3","male","joven","solo","sin_padres"
"570","S","3","male","adulto","solo","sin_padres"
"571","S","2","male","adulto_mayor","solo","sin_padres"
"572","S","1","female","adulto_mayor","pocos_hermanos","sin_padres"
"573","S","1","male","adulto","solo","sin_padres"
"574","S","3","female","joven","solo","sin_padres"
"575","M","3","male","joven","solo","sin_padres"
"576","M","3","male","joven","solo","sin_padres"
"577","S","2","female","adulto","solo","sin_padres"
"578","S","1","female","adulto","pareja","sin_padres"
"579","M","3","female","joven","pareja","sin_padres"
"580","S","3","male","adulto","solo","sin_padres"
"581","S","2","female","joven","pareja","con_padres"
"582","S","1","female","adulto","pareja","con_padres"
"583","M","2","male","adulto_mayor","solo","sin_padres"
"584","M","1","male","adulto","solo","sin_padres"
"585","M","3","male","joven","solo","sin_padres"
"586","S","1","female","joven","solo","con_padres"
"587","M","2","male","adulto_mayor","solo","sin_padres"
"588","S","1","male","adulto_mayor","pareja","con_padres"
"589","M","3","male","joven","solo","sin_padres"
"590","M","3","male","joven","solo","sin_padres"
"591","M","3","male","adulto","solo","sin_padres"
"592","S","1","female","adulto_mayor","pareja","sin_padres"
"593","M","3","male","adulto_mayor","solo","sin_padres"
"594","M","3","female","adulto","solo","con_padres"
"595","M","2","male","adulto","pareja","sin_padres"
"596","M","3","male","adulto","pareja","con_padres"
"597","S","2","female","adulto","solo","sin_padres"
"598","M","3","male","adulto_mayor","solo","sin_padres"
"599","M","3","male","joven","solo","sin_padres"
"600","S","1","male","adulto_mayor","pareja","sin_padres"
"601","S","2","female","joven","pocos_hermanos","con_padres"
"602","M","3","male","joven","solo","sin_padres"
"603","M","1","male","adulto_mayor","solo","sin_padres"
"604","M","3","male","adulto","solo","sin_padres"
"605","S","1","male","adulto","solo","sin_padres"
"606","M","3","male","adulto","pareja","sin_padres"
"607","M","3","male","adulto","solo","sin_padres"
"608","S","1","male","joven","solo","sin_padres"
"609","S","2","female","joven","pareja","con_padres"
"610","S","1","female","adulto","solo","sin_padres"
"611","M","3","female","adulto","pareja","con_hijos"
"612","M","3","male","joven","solo","sin_padres"
"613","S","3","female","joven","pareja","sin_padres"
"614","M","3","male","joven","solo","sin_padres"
"615","M","3","male","adulto","solo","sin_padres"
"616","S","2","female","joven","pareja","con_padres"
"617","M","3","male","adulto","pareja","con_padres"
"618","M","3","female","joven","pareja","sin_padres"
"619","S","2","female","menor","pocos_hermanos","con_padres"
"620","M","2","male","joven","solo","sin_padres"
"621","M","3","male","joven","pareja","sin_padres"
"622","S","1","male","adulto","pareja","sin_padres"
"623","S","3","male","joven","pareja","con_padres"
"624","M","3","male","joven","solo","sin_padres"
"625","M","3","male","joven","solo","sin_padres"
"626","M","1","male","adulto_mayor","solo","sin_padres"
"627","M","2","male","adulto_mayor","solo","sin_padres"
"628","S","1","female","joven","solo","sin_padres"
"629","M","3","male","joven","solo","sin_padres"
"630","M","3","male","joven","solo","sin_padres"
"631","S","1","male","adulto_mayor","solo","sin_padres"
"632","M","3","male","adulto_mayor","solo","sin_padres"
"633","S","1","male","adulto","solo","sin_padres"
"634","M","1","male","adulto_mayor","solo","sin_padres"
"635","M","3","female","menor","pocos_hermanos","con_padres"
"636","S","2","female","joven","solo","sin_padres"
"637","M","3","male","adulto","solo","sin_padres"
"638","M","2","male","adulto","pareja","con_padres"
"639","M","3","female","adulto","solo","con_hijos"
"640","M","3","male","joven","pareja","sin_padres"
"641","M","3","male","joven","solo","sin_padres"
"642","S","1","female","joven","solo","sin_padres"
"643","M","3","female","menor","pocos_hermanos","con_padres"
"644","S","3","male","joven","solo","sin_padres"
"645","S","3","female","menor","pocos_hermanos","con_padres"
"646","S","1","male","adulto_mayor","pareja","sin_padres"
"647","M","3","male","joven","solo","sin_padres"
"648","S","1","male","adulto_mayor","solo","sin_padres"
"649","M","3","male","joven","solo","sin_padres"
"650","S","3","female","joven","solo","sin_padres"
"651","M","3","male","joven","solo","sin_padres"
"652","S","2","female","joven","solo","con_padres"
"653","M","3","male","joven","solo","sin_padres"
"654","S","3","female","joven","solo","sin_padres"
"655","M","3","female","joven","solo","sin_padres"
"656","M","2","male","joven","pocos_hermanos","sin_padres"
"657","M","3","male","joven","solo","sin_padres"
"658","M","3","female","adulto","pareja","con_padres"
"659","M","2","male","joven","solo","sin_padres"
"660","M","1","male","adulto_mayor","solo","con_padres"
"661","S","1","male","adulto_mayor","pocos_hermanos","sin_padres"
"662","M","3","male","adulto","solo","sin_padres"
"663","M","1","male","adulto_mayor","solo","sin_padres"
"664","M","3","male","adulto","solo","sin_padres"
"665","S","3","male","joven","pareja","sin_padres"
"666","M","2","male","adulto","pocos_hermanos","sin_padres"
"667","M","2","male","joven","solo","sin_padres"
"668","M","3","male","joven","solo","sin_padres"
"669","M","3","male","adulto","solo","sin_padres"
"670","S","1","female","adulto","pareja","sin_padres"
"671","S","2","female","adulto","pareja","con_padres"
"672","M","1","male","adulto","pareja","sin_padres"
"673","M","2","male","adulto_mayor","solo","sin_padres"
"674","S","2","male","adulto","solo","sin_padres"
"675","M","2","male","adulto","solo","sin_padres"
"676","M","3","male","joven","solo","sin_padres"
"677","M","3","male","joven","solo","sin_padres"
"678","S","3","female","joven","solo","sin_padres"
"679","M","3","female","adulto","pareja","con_hijos"
"680","S","1","male","adulto","solo","con_padres"
"681","M","3","female","joven","solo","sin_padres"
"682","S","1","male","joven","solo","sin_padres"
"683","M","3","male","joven","solo","sin_padres"
"684","M","3","male","menor","muchos_hermanos","con_padres"
"685","M","2","male","adulto_mayor","pareja","con_padres"
"686","M","2","male","joven","pareja","con_padres"
"687","M","3","male","menor","muchos_hermanos","con_padres"
"688","M","3","male","joven","solo","sin_padres"
"689","M","3","male","joven","solo","sin_padres"
"690","S","1","female","joven","solo","con_padres"
"691","S","1","male","adulto","pareja","sin_padres"
"692","S","3","female","menor","solo","con_padres"
"693","S","3","male","joven","solo","sin_padres"
"694","M","3","male","joven","solo","sin_padres"
"695","M","1","male","adulto_mayor","solo","sin_padres"
"696","M","2","male","adulto_mayor","solo","sin_padres"
"697","M","3","male","adulto","solo","sin_padres"
"698","S","3","female","joven","solo","sin_padres"
"699","M","1","male","adulto_mayor","pareja","con_padres"
"700","M","3","male","adulto","solo","sin_padres"
"701","S","1","female","joven","pareja","sin_padres"
"702","S","1","male","adulto","solo","sin_padres"
"703","M","3","female","joven","solo","con_padres"
"704","M","3","male","joven","solo","sin_padres"
"705","M","3","male","joven","pareja","sin_padres"
"706","M","2","male","adulto","solo","sin_padres"
"707","S","2","female","adulto_mayor","solo","sin_padres"
"708","S","1","male","adulto","solo","sin_padres"
"709","S","1","female","joven","solo","sin_padres"
"710","S","3","male","menor","pareja","con_padres"
"711","S","1","female","joven","solo","sin_padres"
"712","M","1","male","adulto_mayor","solo","sin_padres"
"713","S","1","male","adulto_mayor","pareja","sin_padres"
"714","M","3","male","adulto","solo","sin_padres"
"715","M","2","male","adulto_mayor","solo","sin_padres"
"716","M","3","male","joven","solo","sin_padres"
"717","S","1","female","adulto","solo","sin_padres"
"718","S","2","female","joven","solo","sin_padres"
"719","M","3","male","joven","solo","sin_padres"
"720","M","3","male","adulto","solo","sin_padres"
"721","S","2","female","menor","solo","con_padres"
"722","M","3","male","joven","pareja","sin_padres"
"723","M","2","male","adulto","solo","sin_padres"
"724","M","2","male","adulto_mayor","solo","sin_padres"
"725","S","1","male","joven","pareja","sin_padres"
"726","M","3","male","joven","solo","sin_padres"
"727","S","2","female","adulto","pocos_hermanos","sin_padres"
"728","S","3","female","joven","solo","sin_padres"
"729","M","2","male","joven","pareja","sin_padres"
"730","M","3","female","joven","pareja","sin_padres"
"731","S","1","female","adulto","solo","sin_padres"
"732","M","3","male","menor","solo","sin_padres"
"733","M","2","male","adulto","solo","sin_padres"
"734","M","2","male","joven","solo","sin_padres"
"735","M","2","male","joven","solo","sin_padres"
"736","M","3","male","joven","solo","sin_padres"
"737","M","3","female","adulto_mayor","pareja","con_hijos"
"738","S","1","male","adulto","solo","sin_padres"
"739","M","3","male","joven","solo","sin_padres"
"740","M","3","male","joven","solo","sin_padres"
"741","S","1","male","adulto","solo","sin_padres"
"742","M","1","male","adulto","pareja","sin_padres"
"743","S","1","female","joven","pocos_hermanos","con_padres"
"744","M","3","male","joven","pareja","sin_padres"
"745","S","3","male","adulto","solo","sin_padres"
"746","M","1","male","adulto_mayor","pareja","con_padres"
"747","M","3","male","joven","pareja","con_padres"
"748","S","2","female","adulto","solo","sin_padres"
"749","M","1","male","joven","pareja","sin_padres"
"750","M","3","male","adulto","solo","sin_padres"
"751","S","2","female","menor","pareja","con_padres"
"752","S","3","male","menor","solo","con_padres"
"753","M","3","male","adulto","solo","sin_padres"
"754","M","3","male","joven","solo","sin_padres"
"755","S","2","female","adulto_mayor","pareja","con_padres"
"756","S","2","male","menor","pareja","con_padres"
"757","M","3","male","joven","solo","sin_padres"
"758","M","2","male","joven","solo","sin_padres"
"759","M","3","male","adulto","solo","sin_padres"
"760","S","1","female","adulto","solo","sin_padres"
"761","M","3","male","joven","solo","sin_padres"
"762","M","3","male","adulto","solo","sin_padres"
"763","S","3","male","joven","solo","sin_padres"
"764","S","1","female","adulto","pareja","con_padres"
"765","M","3","male","joven","solo","sin_padres"
"766","S","1","female","adulto_mayor","pareja","sin_padres"
"767","M","1","male","adulto_mayor","solo","sin_padres"
"768","M","3","female","adulto","solo","sin_padres"
"769","M","3","male","joven","pareja","sin_padres"
"770","M","3","male","adulto","solo","sin_padres"
"771","M","3","male","joven","solo","sin_padres"
"772","M","3","male","adulto_mayor","solo","sin_padres"
"773","M","2","female","adulto_mayor","solo","sin_padres"
"774","M","3","male","joven","solo","sin_padres"
"775","S","2","female","adulto_mayor","pareja","con_hijos"
"776","M","3","male","joven","solo","sin_padres"
"777","M","3","male","joven","solo","sin_padres"
"778","S","3","female","menor","solo","sin_padres"
"779","M","3","male","joven","solo","sin_padres"
"780","S","1","female","adulto","solo","con_padres"
"781","S","3","female","menor","solo","sin_padres"
"782","S","1","female","joven","pareja","sin_padres"
"783","M","1","male","adulto","solo","sin_padres"
"784","M","3","male","joven","pareja","con_padres"
"785","M","3","male","joven","solo","sin_padres"
"786","M","3","male","joven","solo","sin_padres"
"787","S","3","female","joven","solo","sin_padres"
"788","M","3","male","menor","muchos_hermanos","con_padres"
"789","S","3","male","menor","pareja","con_padres"
"790","M","1","male","adulto_mayor","solo","sin_padres"
"791","M","3","male","joven","solo","sin_padres"
"792","M","2","male","joven","solo","sin_padres"
"793","M","3","female","menor","muchos_hermanos","con_padres"
"794","M","1","male","adulto_mayor","solo","sin_padres"
"795","M","3","male","joven","solo","sin_padres"
"796","M","2","male","adulto","solo","sin_padres"
"797","S","1","female","adulto_mayor","solo","sin_padres"
"798","S","3","female","adulto","solo","sin_padres"
"799","M","3","male","adulto","solo","sin_padres"
"800","M","3","female","adulto","pareja","con_padres"
"801","M","2","male","adulto","solo","sin_padres"
"802","S","2","female","adulto","pareja","con_padres"
"803","S","1","male","menor","pareja","con_padres"
"804","S","3","male","menor","solo","con_padres"
"805","S","3","male","joven","solo","sin_padres"
"806","M","3","male","adulto","solo","sin_padres"
"807","M","1","male","adulto","solo","sin_padres"
"808","M","3","female","joven","solo","sin_padres"
"809","M","2","male","adulto","solo","sin_padres"
"810","S","1","female","adulto","pareja","sin_padres"
"811","M","3","male","joven","solo","sin_padres"
"812","M","3","male","adulto","solo","sin_padres"
"813","M","2","male","adulto","solo","sin_padres"
"814","M","3","female","menor","muchos_hermanos","con_padres"
"815","M","3","male","adulto","solo","sin_padres"
"816","M","1","male","adulto_mayor","solo","sin_padres"
"817","M","3","female","joven","solo","sin_padres"
"818","M","2","male","adulto","pareja","con_padres"
"819","M","3","male","adulto","solo","sin_padres"
"820","M","3","male","menor","pocos_hermanos","con_padres"
"821","S","1","female","adulto_mayor","pareja","con_padres"
"822","S","3","male","joven","solo","sin_padres"
"823","M","1","male","adulto","solo","sin_padres"
"824","S","3","female","joven","solo","con_padres"
"825","M","3","male","menor","muchos_hermanos","con_padres"
"826","M","3","male","joven","solo","sin_padres"
"827","M","3","male","joven","solo","sin_padres"
"828","S","2","male","menor","solo","con_padres"
"829","S","3","male","joven","solo","sin_padres"
"830","S","1","female","adulto_mayor","solo","sin_padres"
"831","S","3","female","joven","pareja","sin_padres"
"832","S","2","male","menor","pareja","con_padres"
"833","M","3","male","joven","solo","sin_padres"
"834","M","3","male","joven","solo","sin_padres"
"835","M","3","male","joven","solo","sin_padres"
"836","S","1","female","adulto","pareja","con_padres"
"837","M","3","male","joven","solo","sin_padres"
"838","M","3","male","joven","solo","sin_padres"
"839","S","3","male","adulto","solo","sin_padres"
"840","S","1","male","adulto","solo","sin_padres"
"841","M","3","male","joven","solo","sin_padres"
"842","M","2","male","joven","solo","sin_padres"
"843","S","1","female","adulto","solo","sin_padres"
"844","M","3","male","adulto","solo","sin_padres"
"845","M","3","male","joven","solo","sin_padres"
"846","M","3","male","adulto","solo","sin_padres"
"847","M","3","male","menor","muchos_hermanos","con_padres"
"848","M","3","male","adulto","solo","sin_padres"
"849","M","2","male","joven","solo","con_padres"
"850","S","1","female","adulto","pareja","sin_padres"
"851","M","3","male","menor","muchos_hermanos","con_padres"
"852","M","3","male","adulto_mayor","solo","sin_padres"
"853","M","3","female","menor","pareja","con_padres"
"854","S","1","female","joven","solo","con_padres"
"855","M","2","female","adulto","pareja","sin_padres"
"856","S","3","female","joven","solo","con_padres"
"857","S","1","female","adulto_mayor","pareja","con_padres"
"858","S","1","male","adulto_mayor","solo","sin_padres"
"859","S","3","female","joven","solo","con_hijos"
"860","M","3","male","joven","solo","sin_padres"
"861","M","3","male","adulto","pocos_hermanos","sin_padres"
"862","M","2","male","joven","pareja","sin_padres"
"863","S","1","female","adulto_mayor","solo","sin_padres"
"864","M","3","female","menor","muchos_hermanos","con_padres"
"865","M","2","male","joven","solo","sin_padres"
"866","S","2","female","adulto","solo","sin_padres"
"867","S","2","female","joven","pareja","sin_padres"
"868","M","1","male","adulto","solo","sin_padres"
"869","M","3","male","joven","solo","sin_padres"
"870","S","3","male","menor","pareja","con_padres"
"871","M","3","male","joven","solo","sin_padres"
"872","S","1","female","adulto_mayor","pareja","con_padres"
"873","M","1","male","adulto","solo","sin_padres"
"874","M","3","male","adulto_mayor","solo","sin_padres"
"875","S","2","female","joven","pareja","sin_padres"
"876","S","3","female","joven","solo","sin_padres"
"877","M","3","male","joven","solo","sin_padres"
"878","M","3","male","joven","solo","sin_padres"
"879","M","3","male","joven","solo","sin_padres"
"880","S","1","female","adulto_mayor","solo","con_padres"
"881","S","2","female","joven","solo","con_padres"
"882","M","3","male","adulto","solo","sin_padres"
"883","M","3","female","joven","solo","sin_padres"
"884","M","2","male","joven","solo","sin_padres"
"885","M","3","male","joven","solo","sin_padres"
"886","M","3","female","adulto","solo","con_hijos"
"887","M","2","male","joven","solo","sin_padres"
"888","S","1","female","joven","solo","sin_padres"
"889","M","3","female","joven","pareja","con_padres"
"890","S","1","male","joven","solo","sin_padres"
"891","M","3","male","adulto","solo","sin_padres"
